Name,Power,AI_Value
Superconductors,New Power Buildings: +1 PWR,20
Energy Vault,Shields from negative Power Bills (up to 10 uses),25
Financial Instruments,Debt Collection: +$1 per +$1 added to others' debt,15
Water Engine,Free Action: turn +1 H2O into +2 PWR,20
Nanotechnology,Free Action: Draw Building Pool Card,10
Cold Fusion,+1 PWR from new Water Buildings,15
Virtual Reality,Double revenue from Pleasure Dome,15
Perpetual Motion,New H2O/FE/C/SI buildings consume no PWR,20
Carbon Scrubbing,New buildings do not produce negative rates C or O2,15
Slant Drilling,+1 from new FE/SI Buildings,15
Thinking Machines,"Draw 1 Card, +1 Hand Size",20
Teleportation,"Free Action: Sell any resource, -1 PWR",15
Matter Replication,Can play buildings as separate Actions,20
